"동별(1)",동별(2),2025 1/4,2025 1/4,2025 1/4
"동별(1)",동별(2),계 (명),한국인 (명),등록외국인 (명)
"합계",소계,9602826,9335734,267092
"합계",종로구,149478,138184,11294
"합계",중구,130418,119850,10568
"합계",용산구,216537,203405,13132
"합계",성동구,281062,273523,7539
"합계",광진구,348660,331934,16726
"합계",동대문구,361950,342223,19727
"합계",중랑구,384320,378067,6253
"합계",성북구,433569,420380,13189
"합계",강북구,288797,282799,5998
"합계",도봉구,305391,302545,2846
"합계",노원구,495111,489831,5280
"합계",은평구,464466,460055,4411
"합계",서대문구,318085,301943,16142
"합계",마포구,371852,360520,11332
"합계",양천구,432901,429468,3433
"합계",강서구,560094,553987,6107
"합계",구로구,410727,386518,24209
"합계",금천구,238431,224412,14019
"합계",영등포구,396834,373056,23778
"합계",동작구,386897,375547,11350
"합계",관악구,497213,479067,18146
"합계",서초구,412715,407958,4757
"합계",강남구,563189,557296,5893
"합계",송파구,654127,647895,6232
"합계",강동구,500002,495271,4731
